# Mwm name	Generation time
Greece_Decentralized Administration of Attica	2763.257853
Italy_Apulia	2761.855519
Finland_Southern Finland_West	2758.274363
France_Midi-Pyrenees_Gers	2752.193221
Turkey_Black Sea Region	2735.140818
Belgium_Limburg	2731.599811
France_Provence-Alpes-Cote dAzur_Bouches-du-Rhone	2729.802722
Lithuania_West	2716.224961
Sweden_Ostra Gotaland	2709.756297
US_Maine	2687.835701
US_Indiana_Evansville	2685.439731
China_Gansu	2680.593445
France_Centre-Val de Loire_Loir-et-Cher	2676.384647
Spain_Basque Country	2665.2321030000003
US_Montana_East	2664.077644
Brazil_Southeast Region_Sao Paulo_West	2663.4440299999997
Zimbabwe	2657.2575659999998
France_Nord-Pas-de-Calais_Nord	2650.026769
France_Picardy_Aisne	2645.877676
US_South Carolina_Florence	2644.066661
Sweden_Bergslagen	2638.5720619999997
Slovakia_Region of Trencin	2635.599548
Croatia_West	2624.7684870000003
France_Picardy_Somme	2614.713526
Italy_Campania	2606.368665
Cote dIvoire	2605.671325
US_Oregon_Eugene	2602.928821
Czech_Severovychod_Kralovehradecky kraj	2581.291943
Czech_Zlinsky Kraj	2574.7650240000003
China_Guangxi	2562.6376969999997
US_Wisconsin_Madison	2557.69058
Italy_Liguria	2552.780068
Japan_Kanto_Tochigi	2552.302821
Bosnia and Herzegovina_Entity Federation of Bosnia and Herzegovina	2530.956072
Argentina_Buenos Aires_South	2521.9409530000003
US_Minnesota_Saint Cloud	2517.628909
Canada_Quebec_Quebec	2512.039993
US_Massachusetts_Central	2508.047747
India_Delhi	2489.710693
US_North Carolina_Wilmington	2485.979255
France_Midi-Pyrenees_Lot	2483.850767
US_Texas_Lubbock	2477.847656
US_Oregon_West	2461.002647
Netherlands_Zeeland	2455.665127
France_Alsace_Haut-Rhin	2445.742294
Luxembourg	2440.99525
France_Pays de la Loire_Sarthe	2434.884556
Austria_Styria_Leoben	2428.1833030000003
US_California_Bakersfield_Bakersfield	2425.663088
Argentina_Cuyo	2421.952185
US_California_Sacramento_Fresno	2418.80145
Romania_Centre	2415.322166
France_Languedoc-Roussillon_Gard	2397.464693
Peru_Lima	2369.053669
US_Idaho_North	2350.5043370000003
France_Brittany_Cotes-dArmor	2343.369901
Iraq_North	2330.2844299999997
UK_Scotland_North	2325.833815
Austria_Carinthia	2320.914938
Japan_Kanto_Gunma	2299.154435
Argentina_Northwest	2296.409391
Morocco_Rabat-Sale-Zemmour-Zaer	2287.630897
Switzerland_Central	2281.3350450000003
Italy_Sicily	2271.024142
US_Massachusetts_Plymouth	2269.625892
Turkey_Marmara Region_Bursa	2261.990861
Italy_Trentino-Alto Adige Sudtirol	2260.098999
France_Rhone-Alpes_Drome	2244.820713
Turkey_Central Anatolia Region_Ankara	2225.370408
Australia_New South Wales	2222.802926
France_Aquitaine_Pyrenees-Atlantiques	2222.645492
Algeria_Central	2214.2348420000003
Guatemala	2211.147684
US_Texas_Wako	2210.407964
Georgia	2209.8384459999997
Spain_Catalonia_Provincia de Tarragona	2193.452682
France_Rhone-Alpes_Ain	2191.662127
France_Lorraine_Vosges	2186.596069
China_Anhui	2181.246372
Denmark_North Denmark Region	2179.010212
Austria_Salzburg	2172.671119
Cameroon_Central	2171.874883
Iran_East	2168.302895
Sweden_Stockholm	2165.279472
US_Rhode Island	2127.096138
Turkey_Marmara Region_Istanbul	2121.252371
Italy_Lombardy_Pavia	2120.722907
Bolivia_North	2116.798682
Italy_Emilia-Romagna_Bologna	2108.897527
Ireland_Munster	2108.86391
Italy_Tuscany_Grosseto	2100.447276
Ukraine_Donetsk Oblast	2086.124006
US_Texas_Southwest	2081.174183
Peru_South	2068.228949
South Africa_KwaZulu-Natal	2063.635514
Brazil_Southeast Region_Rio de Janeiro	2038.146563
Spain_Extremadura	2028.919277
India_Odisha	2026.478401
France_Provence-Alpes-Cote dAzur_Vaucluse	2025.72207
Turkey_Aegean Region	2020.517774
US_Montana_West	2020.3105739999999
Brazil_South Region_East	2011.20912
Czech_Severovychod_Liberecky kraj	2000.967224
Netherlands_North Brabant_Roosendaal	1998.600506
US_Wisconsin_Eau Claire	1997.46969
US_North Carolina_Wilson	1993.246491
Turkey_Eastern Anatolia Region	1991.059151
Armenia	1991.0501809999998
France_Free County_South	1989.394035
Romania_North_West	1986.730258
Spain_Region de Murcia	1979.318108
Ecuador_East	1957.509701
Germany_Schleswig-Holstein_Flensburg	1956.270556
Botswana	1946.494482
US_Kansas_West	1944.434568
France_Auvergne_Haute-Loire	1934.81093
US_Colorado_Aspen	1933.0295820000001
Japan_Chubu Region_Nagano	1926.7014379999998
Canada_Manitoba_Winnipeg	1910.770474
Russia_Voronezh Oblast	1904.9433729999998
China_Inner Mongolia	1895.5595930000002
South Africa_Mpumalanga	1890.05626
France_Midi-Pyrenees_Tarn	1889.9406099999999
Russia_Nizhny Novgorod Oblast	1886.293637
France_Midi-Pyrenees_Tarn-et-Garonne	1885.804824
China_Hubei	1880.660165
Cambodia	1876.173971
Italy_Marche	1869.113456
France_Rhone-Alpes_Ardeche	1862.7555260000001
Belgium_Luxembourg	1861.385813
UK_England_North East England	1859.308505
Italy_Friuli-Venezia Giulia_Udine	1856.0323660000001
Argentina_Buenos Aires_North	1847.007809
France_Aquitaine_Landes	1845.3352430000002
Netherlands_Gelderland_Zutphen	1841.200268
US_Colorado_South	1829.8498749999999
Slovakia_Region of Nitra	1825.36917
Italy_Emilia-Romagna_Modena	1801.44701
France_Ile-de-France_Hauts-de-Seine	1796.116289
Finland_Northern Finland	1792.9495410000002
US_Illinois_Rockford	1789.987501
South Africa_North West	1778.4603140000002
Ukraine_Ivano-Frankivsk Oblast	1774.1541100000002
Russia_Altai Krai	1767.257086
Ukraine_Dnipropetrovsk Oblast	1759.191611
Japan_Chubu Region_Shizuoka	1723.627533
US_Massachusetts_West	1721.030726
Japan_Chubu Region_Aichi_Nagoya	1710.618577
Saudi Arabia_North	1710.519471
Italy_Umbria	1702.624543
Brazil_Mato Grosso Do Sul	1686.90521
Netherlands_South Holland_Brielle	1682.336128
Netherlands_North Brabant_Uden	1681.651683
Spain_Comunidad Foral de Navarra	1678.94036
India_Assam	1675.012295
Mexico_East	1667.416111
US_California_Chico	1663.671232
Austria_Tyrol	1655.277393
France_Centre-Val de Loire_Eure-et-Loir	1640.858712
Russia_Kirov Oblast	1625.593627
Japan_Tohoku_Miyagi	1625.493663
Argentina_Patagonia	1623.9349309999998
France_Provence-Alpes-Cote dAzur_Var	1601.207794
France_Provence-Alpes-Cote dAzur_Maritime Alps	1584.444951
US_Texas_Amarillo	1583.282031
Brazil_North Region_East	1573.482878
Slovakia_Region of Trnava	1560.39126
France_Languedoc-Roussillon_Pyrenees-Orientales	1557.9478609999999
US_Vermont	1536.086513
Tunisia	1531.5154149999998
Sweden_Sodra Gotaland	1528.96347
Italy_Piemont_Cuneo	1519.635562
Spain_Catalonia_Provincia de Girona	1515.4216119999999
Republic of Kosovo	1505.387981
US_North Dakota_Bismarck	1497.933642
Dominican Republic	1475.062799
Kazakhstan_North	1465.173289
Switzerland_Espace Mittelland_East	1463.926872
Nepal_West	1462.819579
Ecuador_West	1461.201498
Greece_Decentralized Administration of Epirus - Western Macedonia	1458.1965010000001
Portugal_Islands	1457.7624440000002
Japan_Chubu Region_Gifu	1446.57179
Bulgaria_East	1443.753409
US_Delaware	1442.375927
Slovakia_Region of Bratislava	1441.944945
Italy_Abruzzo	1438.781432
Canada_Nova Scotia_Halifax	1431.1301460000002
Russia_Krasnodar Krai_Adygeya	1420.27355
Greece_Decentralized Administration of West Greece	1417.821835
US_Oklahoma_West	1417.139418
Costa Rica	1416.7455120000002
Italy_Veneto_Treviso	1415.71314
US_South Carolina_Charleston	1399.379021
Finland_Eastern Finland_South	1398.026047
Australia_South Australia	1392.902709
China_Shaanxi	1391.613997
US_California_Redding	1388.375569
Italy_Piemont_Alessandria	1377.722498
Estonia_West	1377.5526340000001
Norway_Hordaland	1372.9966160000001
Sudan_East	1369.42226
Singapore	1365.252144
US_Utah_South	1364.370389
Norway_Rogaland	1361.6914550000001
Russia_Sverdlovsk Oblast_Ekaterinburg	1353.598352
Italy_Veneto_Vicenza	1353.5203219999999
Japan_Kyushu Region_Kumamoto	1349.944057
Morocco_Doukkala-Abda	1348.3079380000001
Ukraine_Kharkiv Oblast	1345.962675
Russia_Samara Oblast	1338.497539
Belgium_Namur	1327.316724
France_Lower Normandy_Orne	1325.479373
Japan_Kyushu Region_Saga	1311.37234
France_Centre-Val de Loire_Cher	1288.474389
US_California_Santa_Clara_Santa Cruz	1286.068851
Russia_Stavropol Krai	1283.778836
US_North Dakota_East	1279.963974
India_Uttarakhand	1277.356497
France_Rhone-Alpes_Savoie	1271.500302
Argentina_Mesopotamia	1269.325556
Romania_North_East	1266.436369
Russia_Perm Krai_South	1264.326421
Angola	1261.1556879999998
Russia_Leningradskaya Oblast_Southeast	1257.439515
Guinea	1254.102134
Greenland	1250.6942450000001
Canada_British Columbia_Islands	1250.433343
Bosnia and Herzegovina_Republic of Srpska	1233.493271
Russia_Udmurt Republic	1232.828506
Russia_Vladimir Oblast	1230.56842
Japan_Kinki Region_Osaka_West	1224.639963
France_Midi-Pyrenees_Hautes-Pyrenees	1220.469473
Russia_Saratov Oblast	1212.618367
